文件名: ./emb_a10b95.npy, TC = 0.5353, TD = 0.5444
文件名: ./emb_a45b50.npy, TC = 0.5929, TD = 0.7375
文件名: ./emb_a40b75.npy, TC = 0.5878, TD = 0.6704
文件名: ./emb_a70b30.npy, TC = 0.5912, TD = 0.7214
文件名: ./emb_a55b85.npy, TC = 0.5827, TD = 0.7045
文件名: ./emb_a10b70.npy, TC = 0.5713, TD = 0.6125
文件名: ./emb_a30b75.npy, TC = 0.5738, TD = 0.6360
文件名: ./emb_a65b85.npy, TC = 0.5789, TD = 0.7000
文件名: ./emb_a30b85.npy, TC = 0.5772, TD = 0.6583
文件名: ./emb_a20b80.npy, TC = 0.5883, TD = 0.6609
文件名: ./emb_a90b10.npy, TC = 0.4508, TD = 0.7000
文件名: ./emb_a95b90.npy, TC = 0.5691, TD = 0.6696
文件名: ./emb_a5b5.npy, TC = 0.4691, TD = 0.7000
文件名: ./emb_a55b60.npy, TC = 0.5852, TD = 0.6560
文件名: ./emb_a70b80.npy, TC = 0.5909, TD = 0.6880
文件名: ./emb_a65b45.npy, TC = 0.4500, TD = 0.7000
文件名: ./emb_a15b20.npy, TC = 0.4516, TD = 0.7000
文件名: ./emb_a35b40.npy, TC = 0.6039, TD = 0.6957
文件名: ./emb_a55b40.npy, TC = 0.5693, TD = 0.6750
文件名: ./emb_a30b50.npy, TC = 0.6100, TD = 0.7217
文件名: ./emb_a60b70.npy, TC = 0.5932, TD = 0.6962
文件名: ./emb_a5b50.npy, TC = 0.5576, TD = 0.6750
文件名: ./emb_a45b65.npy, TC = 0.5921, TD = 0.7040
文件名: ./emb_a35b30.npy, TC = 0.6076, TD = 0.6840
文件名: ./emb_a25b60.npy, TC = 0.3943, TD = 1.0000
文件名: ./emb_a40b30.npy, TC = 0.6068, TD = 0.7115
文件名: ./emb_a25b30.npy, TC = 0.5839, TD = 0.6684
文件名: ./emb_a15b40.npy, TC = 0.5956, TD = 0.7125
文件名: ./emb_a30b15.npy, TC = 0.5957, TD = 0.6850
文件名: ./emb_a90b90.npy, TC = 0.5793, TD = 0.6955
文件名: ./emb_a10b45.npy, TC = 0.5670, TD = 0.6706
文件名: ./emb_a40b65.npy, TC = 0.6049, TD = 0.7000
文件名: ./emb_a75b50.npy, TC = 0.5849, TD = 0.6731
文件名: ./emb_a60b50.npy, TC = 0.4500, TD = 0.7000
文件名: ./emb_a85b55.npy, TC = 0.5637, TD = 0.6826
文件名: ./emb_a50b95.npy, TC = 0.5785, TD = 0.6913
文件名: ./emb_a55b70.npy, TC = 0.5894, TD = 0.6958
文件名: ./emb_a95b95.npy, TC = 0.5849, TD = 0.6840
文件名: ./emb_a70b25.npy, TC = 0.4499, TD = 0.7000
文件名: ./emb_a5b40.npy, TC = 0.5608, TD = 0.6533
文件名: ./emb_a10b5.npy, TC = 0.3932, TD = 1.0000
文件名: ./emb_a70b20.npy, TC = 0.5842, TD = 0.7038
文件名: ./emb_a80b85.npy, TC = 0.5805, TD = 0.6652
文件名: ./emb_a50b65.npy, TC = 0.6019, TD = 0.7000
文件名: ./emb_a75b65.npy, TC = 0.4496, TD = 0.7000
文件名: ./emb_a45b20.npy, TC = 0.6146, TD = 0.7115
文件名: ./emb_a80b60.npy, TC = 0.4496, TD = 0.7000
文件名: ./emb_a75b40.npy, TC = 0.5166, TD = 0.7000
文件名: ./emb_a60b80.npy, TC = 0.6028, TD = 0.7174
文件名: ./emb_a30b45.npy, TC = 0.5871, TD = 0.6727
文件名: ./emb_a65b70.npy, TC = 0.5923, TD = 0.6840
文件名: ./emb_a90b20.npy, TC = 0.5168, TD = 0.7000
文件名: ./emb_a90b25.npy, TC = 0.5931, TD = 0.7000
文件名: ./emb_a90b55.npy, TC = 0.5912, TD = 0.6913
文件名: ./emb_a60b5.npy, TC = 0.5846, TD = 0.6923
文件名: ./emb_a65b15.npy, TC = 0.4500, TD = 0.7000
文件名: ./emb_a70b95.npy, TC = 0.5873, TD = 0.7136
文件名: ./emb_a30b80.npy, TC = 0.5764, TD = 0.6381
文件名: ./emb_a95b35.npy, TC = 0.5734, TD = 0.6769
文件名: ./emb_a25b5.npy, TC = 0.4510, TD = 0.7000
文件名: ./emb_a45b70.npy, TC = 0.5813, TD = 0.6880
文件名: ./emb_a40b25.npy, TC = 0.5995, TD = 0.6964
文件名: ./emb_a5b45.npy, TC = 0.5682, TD = 0.6733
文件名: ./emb_a25b10.npy, TC = 0.5835, TD = 0.6714
文件名: ./emb_a95b80.npy, TC = 0.5703, TD = 0.6583
文件名: ./emb_a15b85.npy, TC = 0.5614, TD = 0.6000
文件名: ./emb_a15b95.npy, TC = 0.5330, TD = 0.6000
文件名: ./emb_a20b45.npy, TC = 0.3943, TD = 1.0000
文件名: ./emb_a70b55.npy, TC = 0.5828, TD = 0.7077
文件名: ./emb_a95b85.npy, TC = 0.5739, TD = 0.6957
文件名: ./emb_a60b60.npy, TC = 0.5882, TD = 0.6846
文件名: ./emb_a45b90.npy, TC = 0.5695, TD = 0.6900
