文件名: ./emb_a55b45.npy, TC = 0.4398, TD = 0.7000
文件名: ./emb_a60b55.npy, TC = 0.5718, TD = 0.6808
文件名: ./emb_a80b45.npy, TC = 0.5627, TD = 0.6741
文件名: ./emb_a55b75.npy, TC = 0.5990, TD = 0.7125
文件名: ./emb_a20b95.npy, TC = 0.5182, TD = 0.5379
文件名: ./emb_a70b15.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a60b85.npy, TC = 0.5878, TD = 0.6960
文件名: ./emb_a95b45.npy, TC = 0.5672, TD = 0.6920
文件名: ./emb_a70b35.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a95b65.npy, TC = 0.5736, TD = 0.6920
文件名: ./emb_a15b5.npy, TC = 0.3699, TD = 1.0000
文件名: ./emb_a30b35.npy, TC = 0.5653, TD = 0.6476
文件名: ./emb_a10b35.npy, TC = 0.5662, TD = 0.6056
文件名: ./emb_a55b65.npy, TC = 0.5785, TD = 0.6769
文件名: ./emb_a90b5.npy, TC = 0.5853, TD = 0.6727
文件名: ./emb_a55b35.npy, TC = 0.4399, TD = 0.7000
文件名: ./emb_a50b60.npy, TC = 0.5957, TD = 0.7043
文件名: ./emb_a85b95.npy, TC = 0.5808, TD = 0.6792
文件名: ./emb_a10b55.npy, TC = 0.5857, TD = 0.6882
文件名: ./emb_a20b35.npy, TC = 0.3693, TD = 1.0000
文件名: ./emb_a10b95.npy, TC = 0.5085, TD = 0.5111
文件名: ./emb_a45b50.npy, TC = 0.5977, TD = 0.7292
文件名: ./emb_a40b75.npy, TC = 0.5871, TD = 0.6815
文件名: ./emb_a70b30.npy, TC = 0.5780, TD = 0.7071
文件名: ./emb_a55b85.npy, TC = 0.5739, TD = 0.6773
文件名: ./emb_a10b70.npy, TC = 0.5650, TD = 0.6062
文件名: ./emb_a30b75.npy, TC = 0.5722, TD = 0.6320
文件名: ./emb_a65b85.npy, TC = 0.5818, TD = 0.6826
文件名: ./emb_a30b85.npy, TC = 0.5790, TD = 0.6625
文件名: ./emb_a20b80.npy, TC = 0.5771, TD = 0.6435
文件名: ./emb_a90b10.npy, TC = 0.4397, TD = 0.7000
文件名: ./emb_a95b90.npy, TC = 0.5640, TD = 0.6696
文件名: ./emb_a5b5.npy, TC = 0.4406, TD = 0.7000
文件名: ./emb_a55b60.npy, TC = 0.5718, TD = 0.6520
文件名: ./emb_a70b80.npy, TC = 0.5873, TD = 0.6840
文件名: ./emb_a65b45.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a15b20.npy, TC = 0.4408, TD = 0.7000
文件名: ./emb_a35b40.npy, TC = 0.5883, TD = 0.6826
文件名: ./emb_a55b40.npy, TC = 0.5744, TD = 0.6792
文件名: ./emb_a30b50.npy, TC = 0.5902, TD = 0.6957
文件名: ./emb_a60b70.npy, TC = 0.5884, TD = 0.6846
文件名: ./emb_a5b50.npy, TC = 0.5491, TD = 0.6562
文件名: ./emb_a45b65.npy, TC = 0.5970, TD = 0.7000
文件名: ./emb_a35b30.npy, TC = 0.6056, TD = 0.6800
文件名: ./emb_a25b60.npy, TC = 0.3695, TD = 1.0000
文件名: ./emb_a40b30.npy, TC = 0.5915, TD = 0.6769
文件名: ./emb_a25b30.npy, TC = 0.5792, TD = 0.6368
文件名: ./emb_a15b40.npy, TC = 0.5826, TD = 0.6687
文件名: ./emb_a30b15.npy, TC = 0.6023, TD = 0.7000
文件名: ./emb_a90b90.npy, TC = 0.5721, TD = 0.6636
文件名: ./emb_a10b45.npy, TC = 0.5557, TD = 0.6647
文件名: ./emb_a40b65.npy, TC = 0.5989, TD = 0.7037
文件名: ./emb_a75b50.npy, TC = 0.5816, TD = 0.6692
文件名: ./emb_a60b50.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a85b55.npy, TC = 0.5687, TD = 0.7043
文件名: ./emb_a50b95.npy, TC = 0.5757, TD = 0.6826
文件名: ./emb_a55b70.npy, TC = 0.5844, TD = 0.6792
文件名: ./emb_a95b95.npy, TC = 0.5878, TD = 0.6680
文件名: ./emb_a70b25.npy, TC = 0.4391, TD = 0.7000
文件名: ./emb_a5b40.npy, TC = 0.5311, TD = 0.6467
文件名: ./emb_a10b5.npy, TC = 0.3709, TD = 1.0000
文件名: ./emb_a70b20.npy, TC = 0.5877, TD = 0.7000
文件名: ./emb_a80b85.npy, TC = 0.5794, TD = 0.6783
文件名: ./emb_a50b65.npy, TC = 0.5981, TD = 0.6913
文件名: ./emb_a75b65.npy, TC = 0.4393, TD = 0.7000
文件名: ./emb_a45b20.npy, TC = 0.5959, TD = 0.7000
文件名: ./emb_a80b60.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a75b40.npy, TC = 0.5086, TD = 0.6667
文件名: ./emb_a60b80.npy, TC = 0.5963, TD = 0.6913
文件名: ./emb_a30b45.npy, TC = 0.5762, TD = 0.6318
文件名: ./emb_a65b70.npy, TC = 0.5862, TD = 0.6680
文件名: ./emb_a90b20.npy, TC = 0.5311, TD = 0.7000
文件名: ./emb_a90b25.npy, TC = 0.5864, TD = 0.6875
文件名: ./emb_a90b55.npy, TC = 0.5832, TD = 0.6870
文件名: ./emb_a60b5.npy, TC = 0.5778, TD = 0.6769
文件名: ./emb_a65b15.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a70b95.npy, TC = 0.5905, TD = 0.7091
文件名: ./emb_a30b80.npy, TC = 0.5779, TD = 0.6571
文件名: ./emb_a95b35.npy, TC = 0.5822, TD = 0.6808
文件名: ./emb_a25b5.npy, TC = 0.4395, TD = 0.7000
文件名: ./emb_a45b70.npy, TC = 0.6031, TD = 0.7080
文件名: ./emb_a40b25.npy, TC = 0.5991, TD = 0.6857
文件名: ./emb_a5b45.npy, TC = 0.5483, TD = 0.6667
文件名: ./emb_a25b10.npy, TC = 0.5732, TD = 0.6571
文件名: ./emb_a95b80.npy, TC = 0.5816, TD = 0.6792
