文件名: ./emb_a35b30.npy, TC = 0.5921, TD = 0.6680
文件名: ./emb_a25b60.npy, TC = 0.3375, TD = 1.0000
文件名: ./emb_a40b30.npy, TC = 0.5949, TD = 0.6962
文件名: ./emb_a25b30.npy, TC = 0.5704, TD = 0.6368
文件名: ./emb_a15b40.npy, TC = 0.5802, TD = 0.6687
文件名: ./emb_a30b15.npy, TC = 0.5891, TD = 0.6950
文件名: ./emb_a90b90.npy, TC = 0.5734, TD = 0.6636
文件名: ./emb_a10b45.npy, TC = 0.5555, TD = 0.6647
文件名: ./emb_a40b65.npy, TC = 0.5894, TD = 0.6926
文件名: ./emb_a75b50.npy, TC = 0.5802, TD = 0.6615
文件名: ./emb_a60b50.npy, TC = 0.4357, TD = 0.7000
文件名: ./emb_a85b55.npy, TC = 0.5587, TD = 0.6826
文件名: ./emb_a50b95.npy, TC = 0.5703, TD = 0.6696
文件名: ./emb_a55b70.npy, TC = 0.5778, TD = 0.6708
文件名: ./emb_a95b95.npy, TC = 0.5776, TD = 0.6600
文件名: ./emb_a70b25.npy, TC = 0.4354, TD = 0.7000
文件名: ./emb_a5b40.npy, TC = 0.5270, TD = 0.6333
文件名: ./emb_a10b5.npy, TC = 0.3695, TD = 1.0000
文件名: ./emb_a70b20.npy, TC = 0.5779, TD = 0.6769
文件名: ./emb_a80b85.npy, TC = 0.5773, TD = 0.6609
文件名: ./emb_a50b65.npy, TC = 0.5901, TD = 0.6870
文件名: ./emb_a75b65.npy, TC = 0.4352, TD = 0.7000
文件名: ./emb_a45b20.npy, TC = 0.5864, TD = 0.7077
文件名: ./emb_a80b60.npy, TC = 0.4352, TD = 0.7000
文件名: ./emb_a75b40.npy, TC = 0.5070, TD = 0.6667
文件名: ./emb_a60b80.npy, TC = 0.5906, TD = 0.6870
文件名: ./emb_a30b45.npy, TC = 0.5851, TD = 0.6545
文件名: ./emb_a65b70.npy, TC = 0.5769, TD = 0.6640
文件名: ./emb_a90b20.npy, TC = 0.5278, TD = 0.7000
文件名: ./emb_a90b25.npy, TC = 0.5827, TD = 0.6792
文件名: ./emb_a90b55.npy, TC = 0.5823, TD = 0.6913
文件名: ./emb_a60b5.npy, TC = 0.5755, TD = 0.6846
文件名: ./emb_a65b15.npy, TC = 0.4353, TD = 0.7000
文件名: ./emb_a70b95.npy, TC = 0.5743, TD = 0.6955
文件名: ./emb_a30b80.npy, TC = 0.5677, TD = 0.6286
文件名: ./emb_a95b35.npy, TC = 0.5812, TD = 0.6808
文件名: ./emb_a25b5.npy, TC = 0.4363, TD = 0.7000
文件名: ./emb_a45b70.npy, TC = 0.5870, TD = 0.6920
文件名: ./emb_a40b25.npy, TC = 0.5896, TD = 0.6857
文件名: ./emb_a5b45.npy, TC = 0.5445, TD = 0.6600
文件名: ./emb_a25b10.npy, TC = 0.5736, TD = 0.6429
文件名: ./emb_a95b80.npy, TC = 0.5715, TD = 0.6542
文件名: ./emb_a15b85.npy, TC = 0.5417, TD = 0.5607
文件名: ./emb_a15b95.npy, TC = 0.4930, TD = 0.5808
文件名: ./emb_a20b45.npy, TC = 0.3372, TD = 1.0000
文件名: ./emb_a70b55.npy, TC = 0.5762, TD = 0.6808
文件名: ./emb_a95b85.npy, TC = 0.5703, TD = 0.6696
文件名: ./emb_a60b60.npy, TC = 0.5748, TD = 0.6538
文件名: ./emb_a45b90.npy, TC = 0.5601, TD = 0.6900
文件名: ./emb_a90b75.npy, TC = 0.5844, TD = 0.6870
文件名: ./emb_a25b75.npy, TC = 0.5739, TD = 0.6826
文件名: ./emb_a85b45.npy, TC = 0.5754, TD = 0.6609
文件名: ./emb_a70b10.npy, TC = 0.5794, TD = 0.6760
文件名: ./emb_a80b5.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a80b40.npy, TC = 0.5788, TD = 0.6640
文件名: ./emb_a65b95.npy, TC = 0.5740, TD = 0.6773
文件名: ./emb_a85b85.npy, TC = 0.5796, TD = 0.6783
文件名: ./emb_a40b95.npy, TC = 0.5319, TD = 0.5857
文件名: ./emb_a60b95.npy, TC = 0.5728, TD = 0.6500
文件名: ./emb_a65b35.npy, TC = 0.4355, TD = 0.7000
文件名: ./emb_a80b15.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a90b40.npy, TC = 0.5691, TD = 0.6600
