文件名: ./emb_a80b55.npy, TC = 0.5171, TD = 0.5190
文件名: ./emb_a45b30.npy, TC = 0.5077, TD = 0.5733
文件名: ./emb_a75b30.npy, TC = 0.5378, TD = 0.5158
文件名: ./emb_a85b65.npy, TC = 0.5238, TD = 0.5417
文件名: ./emb_a15b10.npy, TC = 0.5032, TD = 0.5214
文件名: ./emb_a55b30.npy, TC = 0.4938, TD = 0.5600
文件名: ./emb_a90b60.npy, TC = 0.5128, TD = 0.5227
文件名: ./emb_a40b80.npy, TC = 0.5381, TD = 0.6333
文件名: ./emb_a40b20.npy, TC = 0.5207, TD = 0.6000
文件名: ./emb_a60b20.npy, TC = 0.5120, TD = 0.4750
文件名: ./emb_a75b5.npy, TC = 0.5183, TD = 0.5400
文件名: ./emb_a75b55.npy, TC = 0.5384, TD = 0.5762
文件名: ./emb_a5b25.npy, TC = 0.4707, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.5075, TD = 0.5444
文件名: ./emb_a60b55.npy, TC = 0.4893, TD = 0.5909
文件名: ./emb_a80b45.npy, TC = 0.5191, TD = 0.5095
文件名: ./emb_a55b75.npy, TC = 0.5466, TD = 0.6235
文件名: ./emb_a20b95.npy, TC = 0.5292, TD = 0.5591
文件名: ./emb_a70b15.npy, TC = 0.5115, TD = 0.5444
文件名: ./emb_a60b85.npy, TC = 0.5298, TD = 0.5467
文件名: ./emb_a95b45.npy, TC = 0.5295, TD = 0.5481
文件名: ./emb_a70b35.npy, TC = 0.5160, TD = 0.5250
文件名: ./emb_a95b65.npy, TC = 0.5145, TD = 0.5316
文件名: ./emb_a15b5.npy, TC = 0.5012, TD = 0.5308
文件名: ./emb_a30b35.npy, TC = 0.5319, TD = 0.5421
文件名: ./emb_a10b35.npy, TC = 0.4771, TD = 0.7500
文件名: ./emb_a55b65.npy, TC = 0.5360, TD = 0.5687
文件名: ./emb_a90b5.npy, TC = 0.5232, TD = 0.5429
文件名: ./emb_a55b35.npy, TC = 0.4926, TD = 0.5188
文件名: ./emb_a50b60.npy, TC = 0.5403, TD = 0.6062
文件名: ./emb_a85b95.npy, TC = 0.4275, TD = 1.0000
文件名: ./emb_a10b55.npy, TC = 0.5199, TD = 0.5312
文件名: ./emb_a20b35.npy, TC = 0.5546, TD = 0.6071
文件名: ./emb_a10b95.npy, TC = 0.5205, TD = 0.5680
文件名: ./emb_a45b50.npy, TC = 0.5339, TD = 0.5667
文件名: ./emb_a40b75.npy, TC = 0.5295, TD = 0.6357
文件名: ./emb_a70b30.npy, TC = 0.5172, TD = 0.4889
文件名: ./emb_a55b85.npy, TC = 0.5384, TD = 0.6312
文件名: ./emb_a10b70.npy, TC = 0.5177, TD = 0.5737
文件名: ./emb_a30b75.npy, TC = 0.5073, TD = 0.5687
文件名: ./emb_a65b85.npy, TC = 0.5443, TD = 0.6429
文件名: ./emb_a30b85.npy, TC = 0.5544, TD = 0.5560
文件名: ./emb_a20b80.npy, TC = 0.5411, TD = 0.5556
文件名: ./emb_a90b10.npy, TC = 0.4637, TD = 0.4750
文件名: ./emb_a95b90.npy, TC = 0.5313, TD = 0.5500
文件名: ./emb_a5b5.npy, TC = 0.4951, TD = 0.4571
文件名: ./emb_a55b60.npy, TC = 0.5037, TD = 0.5429
文件名: ./emb_a70b80.npy, TC = 0.5138, TD = 0.5444
文件名: ./emb_a65b45.npy, TC = 0.5133, TD = 0.5000
文件名: ./emb_a15b20.npy, TC = 0.4446, TD = 0.6500
文件名: ./emb_a35b40.npy, TC = 0.5324, TD = 0.6000
文件名: ./emb_a55b40.npy, TC = 0.5106, TD = 0.5500
