文件名: ./emb_a45b20.npy, TC = 0.5330, TD = 0.5400
文件名: ./emb_a80b60.npy, TC = 0.5332, TD = 0.5565
文件名: ./emb_a75b40.npy, TC = 0.5229, TD = 0.5350
文件名: ./emb_a60b80.npy, TC = 0.5346, TD = 0.5722
文件名: ./emb_a30b45.npy, TC = 0.5079, TD = 0.6000
文件名: ./emb_a65b70.npy, TC = 0.5097, TD = 0.5333
文件名: ./emb_a90b20.npy, TC = 0.5095, TD = 0.5333
文件名: ./emb_a90b25.npy, TC = 0.5116, TD = 0.5238
文件名: ./emb_a90b55.npy, TC = 0.5265, TD = 0.5455
文件名: ./emb_a60b5.npy, TC = 0.4829, TD = 0.5062
文件名: ./emb_a65b15.npy, TC = 0.4912, TD = 0.5158
文件名: ./emb_a70b95.npy, TC = 0.5441, TD = 0.5800
文件名: ./emb_a30b80.npy, TC = 0.5213, TD = 0.5455
文件名: ./emb_a95b35.npy, TC = 0.4988, TD = 0.5136
文件名: ./emb_a25b5.npy, TC = 0.4376, TD = 0.7000
文件名: ./emb_a45b70.npy, TC = 0.5397, TD = 0.6238
文件名: ./emb_a40b25.npy, TC = 0.5192, TD = 0.5467
文件名: ./emb_a5b45.npy, TC = 0.4900, TD = 0.5611
文件名: ./emb_a25b10.npy, TC = 0.4384, TD = 0.7000
文件名: ./emb_a95b80.npy, TC = 0.5263, TD = 0.5227
文件名: ./emb_a15b85.npy, TC = 0.5035, TD = 0.5207
文件名: ./emb_a15b95.npy, TC = 0.5009, TD = 0.5773
文件名: ./emb_a20b45.npy, TC = 0.5105, TD = 0.5533
文件名: ./emb_a70b55.npy, TC = 0.5030, TD = 0.5062
文件名: ./emb_a95b85.npy, TC = 0.5170, TD = 0.5619
文件名: ./emb_a60b60.npy, TC = 0.5029, TD = 0.5294
文件名: ./emb_a45b90.npy, TC = 0.5242, TD = 0.5458
文件名: ./emb_a90b75.npy, TC = 0.5041, TD = 0.5056
文件名: ./emb_a25b75.npy, TC = 0.5238, TD = 0.5810
文件名: ./emb_a85b45.npy, TC = 0.5163, TD = 0.5263
文件名: ./emb_a70b10.npy, TC = 0.5110, TD = 0.5421
文件名: ./emb_a80b5.npy, TC = 0.5129, TD = 0.5300
文件名: ./emb_a80b40.npy, TC = 0.5210, TD = 0.5409
文件名: ./emb_a65b95.npy, TC = 0.5106, TD = 0.5813
文件名: ./emb_a85b85.npy, TC = 0.5205, TD = 0.5682
文件名: ./emb_a40b95.npy, TC = 0.4977, TD = 0.5476
文件名: ./emb_a60b95.npy, TC = 0.5363, TD = 0.5875
文件名: ./emb_a65b35.npy, TC = 0.5096, TD = 0.5400
文件名: ./emb_a80b15.npy, TC = 0.4875, TD = 0.8500
文件名: ./emb_a90b40.npy, TC = 0.5187, TD = 0.6077
文件名: ./emb_a30b95.npy, TC = 0.5017, TD = 0.5600
文件名: ./emb_a50b30.npy, TC = 0.5139, TD = 0.5353
文件名: ./emb_a5b65.npy, TC = 0.5185, TD = 0.5312
文件名: ./emb_a30b55.npy, TC = 0.5342, TD = 0.6000
文件名: ./emb_a75b80.npy, TC = 0.5055, TD = 0.5235
文件名: ./emb_a35b95.npy, TC = 0.4925, TD = 0.5333
文件名: ./emb_a15b65.npy, TC = 0.5028, TD = 0.6000
