文件名: ./emb_a60b40.npy, TC = 0.5715, TD = 0.6667
文件名: ./emb_a90b65.npy, TC = 0.5792, TD = 0.6727
文件名: ./emb_a75b20.npy, TC = 0.5673, TD = 0.6636
文件名: ./emb_a5b55.npy, TC = 0.5296, TD = 0.5824
文件名: ./emb_a30b70.npy, TC = 0.5615, TD = 0.6875
文件名: ./emb_a80b55.npy, TC = 0.5818, TD = 0.6826
文件名: ./emb_a45b30.npy, TC = 0.5812, TD = 0.6880
文件名: ./emb_a75b30.npy, TC = 0.5830, TD = 0.6750
文件名: ./emb_a85b65.npy, TC = 0.5737, TD = 0.6800
文件名: ./emb_a15b10.npy, TC = 0.5625, TD = 0.6111
文件名: ./emb_a55b30.npy, TC = 0.5719, TD = 0.7043
文件名: ./emb_a90b60.npy, TC = 0.5757, TD = 0.6792
文件名: ./emb_a40b80.npy, TC = 0.5798, TD = 0.6654
文件名: ./emb_a40b20.npy, TC = 0.5771, TD = 0.6652
文件名: ./emb_a60b20.npy, TC = 0.5630, TD = 0.6708
文件名: ./emb_a75b5.npy, TC = 0.5695, TD = 0.6750
文件名: ./emb_a75b55.npy, TC = 0.5643, TD = 0.6840
文件名: ./emb_a5b25.npy, TC = 0.4518, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.5636, TD = 0.6667
文件名: ./emb_a60b55.npy, TC = 0.5602, TD = 0.6826
文件名: ./emb_a80b45.npy, TC = 0.5774, TD = 0.6667
文件名: ./emb_a55b75.npy, TC = 0.5628, TD = 0.6920
文件名: ./emb_a20b95.npy, TC = 0.5483, TD = 0.5148
文件名: ./emb_a70b15.npy, TC = 0.5708, TD = 0.6600
文件名: ./emb_a60b85.npy, TC = 0.5690, TD = 0.7083
文件名: ./emb_a95b45.npy, TC = 0.5759, TD = 0.6708
文件名: ./emb_a70b35.npy, TC = 0.5704, TD = 0.6885
文件名: ./emb_a95b65.npy, TC = 0.5888, TD = 0.6826
文件名: ./emb_a15b5.npy, TC = 0.5734, TD = 0.6118
文件名: ./emb_a30b35.npy, TC = 0.5888, TD = 0.7000
文件名: ./emb_a10b35.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a55b65.npy, TC = 0.5683, TD = 0.6917
文件名: ./emb_a90b5.npy, TC = 0.5738, TD = 0.6792
文件名: ./emb_a55b35.npy, TC = 0.5689, TD = 0.6962
文件名: ./emb_a50b60.npy, TC = 0.5743, TD = 0.7083
文件名: ./emb_a85b95.npy, TC = 0.5792, TD = 0.6760
文件名: ./emb_a10b55.npy, TC = 0.5273, TD = 0.6188
文件名: ./emb_a20b35.npy, TC = 0.5740, TD = 0.6636
文件名: ./emb_a10b95.npy, TC = 0.5006, TD = 0.4913
文件名: ./emb_a45b50.npy, TC = 0.5761, TD = 0.6913
文件名: ./emb_a40b75.npy, TC = 0.5826, TD = 0.6708
文件名: ./emb_a70b30.npy, TC = 0.5713, TD = 0.6923
文件名: ./emb_a55b85.npy, TC = 0.5754, TD = 0.6920
文件名: ./emb_a10b70.npy, TC = 0.5640, TD = 0.6105
文件名: ./emb_a30b75.npy, TC = 0.5636, TD = 0.6783
文件名: ./emb_a65b85.npy, TC = 0.5614, TD = 0.6920
文件名: ./emb_a30b85.npy, TC = 0.5781, TD = 0.7115
文件名: ./emb_a20b80.npy, TC = 0.5927, TD = 0.7143
文件名: ./emb_a90b10.npy, TC = 0.5890, TD = 0.6680
文件名: ./emb_a95b90.npy, TC = 0.5748, TD = 0.6615
文件名: ./emb_a5b5.npy, TC = 0.4032, TD = 0.8000
文件名: ./emb_a55b60.npy, TC = 0.5762, TD = 0.6962
文件名: ./emb_a70b80.npy, TC = 0.5798, TD = 0.6864
文件名: ./emb_a65b45.npy, TC = 0.5593, TD = 0.6833
文件名: ./emb_a15b20.npy, TC = 0.5733, TD = 0.6632
文件名: ./emb_a35b40.npy, TC = 0.5722, TD = 0.6760
文件名: ./emb_a55b40.npy, TC = 0.5804, TD = 0.6917
文件名: ./emb_a30b50.npy, TC = 0.5811, TD = 0.6826
文件名: ./emb_a60b70.npy, TC = 0.5561, TD = 0.6565
文件名: ./emb_a5b50.npy, TC = 0.5259, TD = 0.6182
文件名: ./emb_a45b65.npy, TC = 0.5754, TD = 0.6750
文件名: ./emb_a35b30.npy, TC = 0.5829, TD = 0.6522
文件名: ./emb_a25b60.npy, TC = 0.4497, TD = 0.7000
文件名: ./emb_a40b30.npy, TC = 0.5726, TD = 0.6500
文件名: ./emb_a25b30.npy, TC = 0.5799, TD = 0.6917
文件名: ./emb_a15b40.npy, TC = 0.5912, TD = 0.6882
文件名: ./emb_a30b15.npy, TC = 0.5776, TD = 0.6652
文件名: ./emb_a90b90.npy, TC = 0.5792, TD = 0.6833
文件名: ./emb_a10b45.npy, TC = 0.5401, TD = 0.9000
文件名: ./emb_a40b65.npy, TC = 0.4496, TD = 0.7000
文件名: ./emb_a75b50.npy, TC = 0.5780, TD = 0.6783
文件名: ./emb_a60b50.npy, TC = 0.5775, TD = 0.6833
