文件名: ./emb_a30b35.npy, TC = 0.5997, TD = 0.7250
文件名: ./emb_a10b35.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a55b65.npy, TC = 0.5795, TD = 0.6917
文件名: ./emb_a90b5.npy, TC = 0.5808, TD = 0.6833
文件名: ./emb_a55b35.npy, TC = 0.5685, TD = 0.6769
文件名: ./emb_a50b60.npy, TC = 0.5770, TD = 0.7042
文件名: ./emb_a85b95.npy, TC = 0.5834, TD = 0.6800
文件名: ./emb_a10b55.npy, TC = 0.5389, TD = 0.6125
文件名: ./emb_a20b35.npy, TC = 0.5801, TD = 0.6636
文件名: ./emb_a10b95.npy, TC = 0.5123, TD = 0.5174
文件名: ./emb_a45b50.npy, TC = 0.5826, TD = 0.6913
文件名: ./emb_a40b75.npy, TC = 0.5912, TD = 0.6792
文件名: ./emb_a70b30.npy, TC = 0.5748, TD = 0.6769
文件名: ./emb_a55b85.npy, TC = 0.5788, TD = 0.7000
文件名: ./emb_a10b70.npy, TC = 0.5694, TD = 0.6158
文件名: ./emb_a30b75.npy, TC = 0.5743, TD = 0.6913
文件名: ./emb_a65b85.npy, TC = 0.5611, TD = 0.6800
文件名: ./emb_a30b85.npy, TC = 0.5821, TD = 0.7154
文件名: ./emb_a20b80.npy, TC = 0.5824, TD = 0.7143
文件名: ./emb_a90b10.npy, TC = 0.5932, TD = 0.6920
文件名: ./emb_a95b90.npy, TC = 0.5820, TD = 0.6654
文件名: ./emb_a5b5.npy, TC = 0.4280, TD = 0.8500
文件名: ./emb_a55b60.npy, TC = 0.5844, TD = 0.6923
文件名: ./emb_a70b80.npy, TC = 0.5784, TD = 0.6909
文件名: ./emb_a65b45.npy, TC = 0.5723, TD = 0.6958
文件名: ./emb_a15b20.npy, TC = 0.5877, TD = 0.6737
文件名: ./emb_a35b40.npy, TC = 0.5832, TD = 0.6960
文件名: ./emb_a55b40.npy, TC = 0.5910, TD = 0.7000
文件名: ./emb_a30b50.npy, TC = 0.5882, TD = 0.6826
文件名: ./emb_a60b70.npy, TC = 0.5612, TD = 0.6609
文件名: ./emb_a5b50.npy, TC = 0.5425, TD = 0.6364
文件名: ./emb_a45b65.npy, TC = 0.5751, TD = 0.6625
文件名: ./emb_a35b30.npy, TC = 0.5876, TD = 0.6609
文件名: ./emb_a25b60.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a40b30.npy, TC = 0.5794, TD = 0.6423
文件名: ./emb_a25b30.npy, TC = 0.5940, TD = 0.7042
文件名: ./emb_a15b40.npy, TC = 0.5892, TD = 0.6941
文件名: ./emb_a30b15.npy, TC = 0.5810, TD = 0.6652
文件名: ./emb_a90b90.npy, TC = 0.5747, TD = 0.6833
文件名: ./emb_a10b45.npy, TC = 0.5693, TD = 0.9000
文件名: ./emb_a40b65.npy, TC = 0.4748, TD = 0.6500
文件名: ./emb_a75b50.npy, TC = 0.5832, TD = 0.6826
文件名: ./emb_a60b50.npy, TC = 0.5773, TD = 0.6833
文件名: ./emb_a85b55.npy, TC = 0.5807, TD = 0.6958
文件名: ./emb_a50b95.npy, TC = 0.5867, TD = 0.6920
文件名: ./emb_a55b70.npy, TC = 0.5802, TD = 0.6500
文件名: ./emb_a95b95.npy, TC = 0.5765, TD = 0.6808
文件名: ./emb_a70b25.npy, TC = 0.5699, TD = 0.6800
文件名: ./emb_a5b40.npy, TC = 0.5422, TD = 0.5643
文件名: ./emb_a10b5.npy, TC = 0.5273, TD = 0.5643
文件名: ./emb_a70b20.npy, TC = 0.5940, TD = 0.6923
文件名: ./emb_a80b85.npy, TC = 0.5818, TD = 0.6875
文件名: ./emb_a50b65.npy, TC = 0.5648, TD = 0.6864
文件名: ./emb_a75b65.npy, TC = 0.5733, TD = 0.6609
文件名: ./emb_a45b20.npy, TC = 0.5889, TD = 0.6800
文件名: ./emb_a80b60.npy, TC = 0.5818, TD = 0.6833
文件名: ./emb_a75b40.npy, TC = 0.5916, TD = 0.6917
文件名: ./emb_a60b80.npy, TC = 0.5975, TD = 0.6962
文件名: ./emb_a30b45.npy, TC = 0.5926, TD = 0.6913
文件名: ./emb_a65b70.npy, TC = 0.5843, TD = 0.6952
文件名: ./emb_a90b20.npy, TC = 0.5836, TD = 0.6957
文件名: ./emb_a90b25.npy, TC = 0.5840, TD = 0.6792
文件名: ./emb_a90b55.npy, TC = 0.5881, TD = 0.6917
文件名: ./emb_a60b5.npy, TC = 0.5866, TD = 0.7042
文件名: ./emb_a65b15.npy, TC = 0.5741, TD = 0.6682
文件名: ./emb_a70b95.npy, TC = 0.5734, TD = 0.7087
文件名: ./emb_a30b80.npy, TC = 0.5870, TD = 0.6952
文件名: ./emb_a95b35.npy, TC = 0.5800, TD = 0.6957
文件名: ./emb_a25b5.npy, TC = 0.5691, TD = 0.6870
文件名: ./emb_a45b70.npy, TC = 0.5794, TD = 0.6792
文件名: ./emb_a40b25.npy, TC = 0.5710, TD = 0.6875
文件名: ./emb_a5b45.npy, TC = 0.5371, TD = 0.6071
文件名: ./emb_a25b10.npy, TC = 0.5887, TD = 0.7167
文件名: ./emb_a95b80.npy, TC = 0.5912, TD = 0.7182
文件名: ./emb_a15b85.npy, TC = 0.5392, TD = 0.5750
文件名: ./emb_a15b95.npy, TC = 0.5453, TD = 0.5280
文件名: ./emb_a20b45.npy, TC = 0.5849, TD = 0.6818
文件名: ./emb_a70b55.npy, TC = 0.5797, TD = 0.6846
文件名: ./emb_a95b85.npy, TC = 0.5670, TD = 0.7083
文件名: ./emb_a60b60.npy, TC = 0.5812, TD = 0.7087
文件名: ./emb_a45b90.npy, TC = 0.5887, TD = 0.6926
文件名: ./emb_a90b75.npy, TC = 0.5823, TD = 0.6720
文件名: ./emb_a25b75.npy, TC = 0.5748, TD = 0.7182
文件名: ./emb_a85b45.npy, TC = 0.5816, TD = 0.6800
文件名: ./emb_a70b10.npy, TC = 0.5799, TD = 0.6875
文件名: ./emb_a80b5.npy, TC = 0.5790, TD = 0.6750
文件名: ./emb_a80b40.npy, TC = 0.5751, TD = 0.6870
