文件名: ./emb_a40b80.npy, TC = 0.5756, TD = 0.6577
文件名: ./emb_a40b20.npy, TC = 0.5816, TD = 0.6609
文件名: ./emb_a60b20.npy, TC = 0.5790, TD = 0.6875
文件名: ./emb_a75b5.npy, TC = 0.5674, TD = 0.6833
文件名: ./emb_a75b55.npy, TC = 0.5643, TD = 0.6720
文件名: ./emb_a5b25.npy, TC = 0.4414, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.5777, TD = 0.6762
文件名: ./emb_a60b55.npy, TC = 0.5682, TD = 0.6826
文件名: ./emb_a80b45.npy, TC = 0.5864, TD = 0.6792
文件名: ./emb_a55b75.npy, TC = 0.5728, TD = 0.6840
文件名: ./emb_a20b95.npy, TC = 0.5400, TD = 0.4889
文件名: ./emb_a70b15.npy, TC = 0.5753, TD = 0.6720
文件名: ./emb_a60b85.npy, TC = 0.5792, TD = 0.7125
文件名: ./emb_a95b45.npy, TC = 0.5829, TD = 0.6792
文件名: ./emb_a70b35.npy, TC = 0.5680, TD = 0.6846
文件名: ./emb_a95b65.npy, TC = 0.5825, TD = 0.6696
文件名: ./emb_a15b5.npy, TC = 0.5862, TD = 0.6294
文件名: ./emb_a30b35.npy, TC = 0.5907, TD = 0.7083
文件名: ./emb_a10b35.npy, TC = 0.4402, TD = 0.7000
文件名: ./emb_a55b65.npy, TC = 0.5783, TD = 0.6958
文件名: ./emb_a90b5.npy, TC = 0.5772, TD = 0.6750
文件名: ./emb_a55b35.npy, TC = 0.5725, TD = 0.7000
文件名: ./emb_a50b60.npy, TC = 0.5651, TD = 0.7167
文件名: ./emb_a85b95.npy, TC = 0.5930, TD = 0.6760
文件名: ./emb_a10b55.npy, TC = 0.5351, TD = 0.6188
文件名: ./emb_a20b35.npy, TC = 0.5677, TD = 0.6773
文件名: ./emb_a10b95.npy, TC = 0.4967, TD = 0.5000
文件名: ./emb_a45b50.npy, TC = 0.5843, TD = 0.6870
文件名: ./emb_a40b75.npy, TC = 0.5863, TD = 0.6875
文件名: ./emb_a70b30.npy, TC = 0.5672, TD = 0.6808
文件名: ./emb_a55b85.npy, TC = 0.5883, TD = 0.7120
文件名: ./emb_a10b70.npy, TC = 0.5608, TD = 0.6105
文件名: ./emb_a30b75.npy, TC = 0.5772, TD = 0.6870
文件名: ./emb_a65b85.npy, TC = 0.5584, TD = 0.6880
文件名: ./emb_a30b85.npy, TC = 0.5834, TD = 0.7115
文件名: ./emb_a20b80.npy, TC = 0.5705, TD = 0.7143
文件名: ./emb_a90b10.npy, TC = 0.5927, TD = 0.6840
文件名: ./emb_a95b90.npy, TC = 0.5735, TD = 0.6423
文件名: ./emb_a5b5.npy, TC = 0.3703, TD = 0.8000
文件名: ./emb_a55b60.npy, TC = 0.5781, TD = 0.6962
文件名: ./emb_a70b80.npy, TC = 0.5704, TD = 0.6636
文件名: ./emb_a65b45.npy, TC = 0.5706, TD = 0.7000
文件名: ./emb_a15b20.npy, TC = 0.5814, TD = 0.6737
文件名: ./emb_a35b40.npy, TC = 0.5737, TD = 0.6880
文件名: ./emb_a55b40.npy, TC = 0.5873, TD = 0.7000
文件名: ./emb_a30b50.npy, TC = 0.5791, TD = 0.7000
