文件名: ./emb_a70b35.npy, TC = 0.5643, TD = 0.6731
文件名: ./emb_a95b65.npy, TC = 0.5811, TD = 0.6652
文件名: ./emb_a15b5.npy, TC = 0.5688, TD = 0.6118
文件名: ./emb_a30b35.npy, TC = 0.5804, TD = 0.6917
文件名: ./emb_a10b35.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a55b65.npy, TC = 0.5724, TD = 0.6875
文件名: ./emb_a90b5.npy, TC = 0.5747, TD = 0.6625
文件名: ./emb_a55b35.npy, TC = 0.5576, TD = 0.6808
文件名: ./emb_a50b60.npy, TC = 0.5598, TD = 0.7000
文件名: ./emb_a85b95.npy, TC = 0.5801, TD = 0.6680
文件名: ./emb_a10b55.npy, TC = 0.5197, TD = 0.6312
文件名: ./emb_a20b35.npy, TC = 0.5602, TD = 0.6818
文件名: ./emb_a10b95.npy, TC = 0.4899, TD = 0.5000
文件名: ./emb_a45b50.npy, TC = 0.5694, TD = 0.6826
文件名: ./emb_a40b75.npy, TC = 0.5683, TD = 0.6750
文件名: ./emb_a70b30.npy, TC = 0.5611, TD = 0.6923
文件名: ./emb_a55b85.npy, TC = 0.5746, TD = 0.7000
文件名: ./emb_a10b70.npy, TC = 0.5387, TD = 0.6000
文件名: ./emb_a30b75.npy, TC = 0.5659, TD = 0.6870
文件名: ./emb_a65b85.npy, TC = 0.5569, TD = 0.6960
文件名: ./emb_a30b85.npy, TC = 0.5781, TD = 0.7038
文件名: ./emb_a20b80.npy, TC = 0.5614, TD = 0.7095
文件名: ./emb_a90b10.npy, TC = 0.5932, TD = 0.6800
文件名: ./emb_a95b90.npy, TC = 0.5711, TD = 0.6423
文件名: ./emb_a5b5.npy, TC = 0.3735, TD = 0.8000
文件名: ./emb_a55b60.npy, TC = 0.5650, TD = 0.6731
文件名: ./emb_a70b80.npy, TC = 0.5709, TD = 0.6591
文件名: ./emb_a65b45.npy, TC = 0.5559, TD = 0.6708
文件名: ./emb_a15b20.npy, TC = 0.5742, TD = 0.6474
文件名: ./emb_a35b40.npy, TC = 0.5667, TD = 0.6760
文件名: ./emb_a55b40.npy, TC = 0.5677, TD = 0.6792
文件名: ./emb_a30b50.npy, TC = 0.5674, TD = 0.6826
文件名: ./emb_a60b70.npy, TC = 0.5666, TD = 0.6652
文件名: ./emb_a5b50.npy, TC = 0.5124, TD = 0.6273
文件名: ./emb_a45b65.npy, TC = 0.5713, TD = 0.6583
文件名: ./emb_a35b30.npy, TC = 0.5745, TD = 0.6565
文件名: ./emb_a25b60.npy, TC = 0.4362, TD = 0.7000
文件名: ./emb_a40b30.npy, TC = 0.5757, TD = 0.6500
文件名: ./emb_a25b30.npy, TC = 0.5648, TD = 0.6833
文件名: ./emb_a15b40.npy, TC = 0.5826, TD = 0.6824
文件名: ./emb_a30b15.npy, TC = 0.5697, TD = 0.6739
文件名: ./emb_a90b90.npy, TC = 0.5726, TD = 0.6708
文件名: ./emb_a10b45.npy, TC = 0.5182, TD = 0.9000
文件名: ./emb_a40b65.npy, TC = 0.4357, TD = 0.7000
文件名: ./emb_a75b50.npy, TC = 0.5807, TD = 0.6609
文件名: ./emb_a60b50.npy, TC = 0.5760, TD = 0.6667
文件名: ./emb_a85b55.npy, TC = 0.5867, TD = 0.6917
文件名: ./emb_a50b95.npy, TC = 0.5793, TD = 0.7000
文件名: ./emb_a55b70.npy, TC = 0.5647, TD = 0.6577
文件名: ./emb_a95b95.npy, TC = 0.5771, TD = 0.6769
文件名: ./emb_a70b25.npy, TC = 0.5657, TD = 0.6600
文件名: ./emb_a5b40.npy, TC = 0.5020, TD = 0.5429
文件名: ./emb_a10b5.npy, TC = 0.5114, TD = 0.5643
文件名: ./emb_a70b20.npy, TC = 0.5679, TD = 0.6846
文件名: ./emb_a80b85.npy, TC = 0.5800, TD = 0.6667
文件名: ./emb_a50b65.npy, TC = 0.5612, TD = 0.6818
文件名: ./emb_a75b65.npy, TC = 0.5683, TD = 0.6609
文件名: ./emb_a45b20.npy, TC = 0.5791, TD = 0.6840
文件名: ./emb_a80b60.npy, TC = 0.5702, TD = 0.6542
文件名: ./emb_a75b40.npy, TC = 0.5733, TD = 0.6792
文件名: ./emb_a60b80.npy, TC = 0.5778, TD = 0.6808
文件名: ./emb_a30b45.npy, TC = 0.5678, TD = 0.6870
文件名: ./emb_a65b70.npy, TC = 0.5958, TD = 0.6905
文件名: ./emb_a90b20.npy, TC = 0.5838, TD = 0.6696
文件名: ./emb_a90b25.npy, TC = 0.5723, TD = 0.6750
文件名: ./emb_a90b55.npy, TC = 0.5752, TD = 0.6625
文件名: ./emb_a60b5.npy, TC = 0.5689, TD = 0.6750
文件名: ./emb_a65b15.npy, TC = 0.5729, TD = 0.6409
文件名: ./emb_a70b95.npy, TC = 0.5800, TD = 0.6870
文件名: ./emb_a30b80.npy, TC = 0.5672, TD = 0.6952
文件名: ./emb_a95b35.npy, TC = 0.5699, TD = 0.6565
文件名: ./emb_a25b5.npy, TC = 0.5629, TD = 0.6783
文件名: ./emb_a45b70.npy, TC = 0.5711, TD = 0.6792
文件名: ./emb_a40b25.npy, TC = 0.5665, TD = 0.6708
文件名: ./emb_a5b45.npy, TC = 0.5131, TD = 0.6000
文件名: ./emb_a25b10.npy, TC = 0.5512, TD = 0.7083
文件名: ./emb_a95b80.npy, TC = 0.5847, TD = 0.7000
文件名: ./emb_a15b85.npy, TC = 0.5234, TD = 0.5100
文件名: ./emb_a15b95.npy, TC = 0.5052, TD = 0.4880
文件名: ./emb_a20b45.npy, TC = 0.5548, TD = 0.6727
文件名: ./emb_a70b55.npy, TC = 0.5668, TD = 0.6731
文件名: ./emb_a95b85.npy, TC = 0.5666, TD = 0.6750
文件名: ./emb_a60b60.npy, TC = 0.5701, TD = 0.6870
文件名: ./emb_a45b90.npy, TC = 0.5714, TD = 0.7000
文件名: ./emb_a90b75.npy, TC = 0.5779, TD = 0.6720
文件名: ./emb_a25b75.npy, TC = 0.5672, TD = 0.7045
文件名: ./emb_a85b45.npy, TC = 0.5650, TD = 0.6680
文件名: ./emb_a70b10.npy, TC = 0.5623, TD = 0.6792
文件名: ./emb_a80b5.npy, TC = 0.5808, TD = 0.6667
文件名: ./emb_a80b40.npy, TC = 0.5671, TD = 0.6522
文件名: ./emb_a65b95.npy, TC = 0.5692, TD = 0.6680
文件名: ./emb_a85b85.npy, TC = 0.5777, TD = 0.6565
文件名: ./emb_a40b95.npy, TC = 0.5664, TD = 0.6773
文件名: ./emb_a60b95.npy, TC = 0.5723, TD = 0.6909
文件名: ./emb_a65b35.npy, TC = 0.5719, TD = 0.6800
文件名: ./emb_a80b15.npy, TC = 0.5726, TD = 0.6583
文件名: ./emb_a90b40.npy, TC = 0.5752, TD = 0.6692
文件名: ./emb_a30b95.npy, TC = 0.5723, TD = 0.6364
文件名: ./emb_a50b30.npy, TC = 0.5735, TD = 0.6600
文件名: ./emb_a5b65.npy, TC = 0.5075, TD = 0.6273
文件名: ./emb_a30b55.npy, TC = 0.5627, TD = 0.6792
文件名: ./emb_a75b80.npy, TC = 0.5767, TD = 0.6720
文件名: ./emb_a35b95.npy, TC = 0.5599, TD = 0.6952
文件名: ./emb_a15b65.npy, TC = 0.5641, TD = 0.6500
文件名: ./emb_a25b35.npy, TC = 0.5645, TD = 0.6833
文件名: ./emb_a5b80.npy, TC = 0.4901, TD = 0.5261
文件名: ./emb_a15b75.npy, TC = 0.5533, TD = 0.6278
文件名: ./emb_a15b25.npy, TC = 0.5814, TD = 0.6611
文件名: ./emb_a90b45.npy, TC = 0.5798, TD = 0.6708
文件名: ./emb_a65b50.npy, TC = 0.5755, TD = 0.6962
文件名: ./emb_a50b20.npy, TC = 0.5717, TD = 0.6923
文件名: ./emb_a50b25.npy, TC = 0.5668, TD = 0.6917
文件名: ./emb_a20b20.npy, TC = 0.5721, TD = 0.6889
