文件名: ./emb_a10b45.npy, TC = 0.5809, TD = 0.6765
文件名: ./emb_a40b65.npy, TC = 0.6172, TD = 0.7074
文件名: ./emb_a75b50.npy, TC = 0.5874, TD = 0.6846
文件名: ./emb_a60b50.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a85b55.npy, TC = 0.5684, TD = 0.6696
文件名: ./emb_a50b95.npy, TC = 0.5850, TD = 0.7043
文件名: ./emb_a55b70.npy, TC = 0.5930, TD = 0.6875
文件名: ./emb_a95b95.npy, TC = 0.5960, TD = 0.7000
文件名: ./emb_a70b25.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a5b40.npy, TC = 0.5625, TD = 0.6933
文件名: ./emb_a10b5.npy, TC = 0.4401, TD = 1.0000
文件名: ./emb_a70b20.npy, TC = 0.5968, TD = 0.7038
文件名: ./emb_a80b85.npy, TC = 0.5865, TD = 0.6826
文件名: ./emb_a50b65.npy, TC = 0.6073, TD = 0.7087
文件名: ./emb_a75b65.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a45b20.npy, TC = 0.6168, TD = 0.7115
文件名: ./emb_a80b60.npy, TC = 0.4375, TD = 0.7000
文件名: ./emb_a75b40.npy, TC = 0.5085, TD = 0.7000
文件名: ./emb_a60b80.npy, TC = 0.6027, TD = 0.7087
文件名: ./emb_a30b45.npy, TC = 0.5911, TD = 0.6636
文件名: ./emb_a65b70.npy, TC = 0.5953, TD = 0.6840
文件名: ./emb_a90b20.npy, TC = 0.5077, TD = 0.7000
文件名: ./emb_a90b25.npy, TC = 0.5985, TD = 0.6958
文件名: ./emb_a90b55.npy, TC = 0.5934, TD = 0.6957
文件名: ./emb_a60b5.npy, TC = 0.5880, TD = 0.6846
文件名: ./emb_a65b15.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a70b95.npy, TC = 0.5953, TD = 0.7273
文件名: ./emb_a30b80.npy, TC = 0.5860, TD = 0.6619
文件名: ./emb_a95b35.npy, TC = 0.5774, TD = 0.6846
文件名: ./emb_a25b5.npy, TC = 0.4770, TD = 0.6500
文件名: ./emb_a45b70.npy, TC = 0.5962, TD = 0.7000
文件名: ./emb_a40b25.npy, TC = 0.6116, TD = 0.7071
文件名: ./emb_a5b45.npy, TC = 0.5681, TD = 0.6867
文件名: ./emb_a25b10.npy, TC = 0.5812, TD = 0.6667
文件名: ./emb_a95b80.npy, TC = 0.5764, TD = 0.6833
文件名: ./emb_a15b85.npy, TC = 0.5781, TD = 0.6036
文件名: ./emb_a15b95.npy, TC = 0.5398, TD = 0.6038
文件名: ./emb_a20b45.npy, TC = 0.4412, TD = 1.0000
文件名: ./emb_a70b55.npy, TC = 0.5848, TD = 0.6923
文件名: ./emb_a95b85.npy, TC = 0.5760, TD = 0.6957
文件名: ./emb_a60b60.npy, TC = 0.5852, TD = 0.6654
文件名: ./emb_a45b90.npy, TC = 0.5730, TD = 0.7050
文件名: ./emb_a90b75.npy, TC = 0.5892, TD = 0.7043
文件名: ./emb_a25b75.npy, TC = 0.5954, TD = 0.7087
文件名: ./emb_a85b45.npy, TC = 0.5861, TD = 0.6826
文件名: ./emb_a70b10.npy, TC = 0.5766, TD = 0.6760
文件名: ./emb_a80b5.npy, TC = 0.4380, TD = 0.7000
文件名: ./emb_a80b40.npy, TC = 0.5839, TD = 0.6760
文件名: ./emb_a65b95.npy, TC = 0.5901, TD = 0.7136
