文件名: ./emb_a40b95.npy, TC = 0.5823, TD = 0.5971
文件名: ./emb_a60b95.npy, TC = 0.5154, TD = 0.5895
文件名: ./emb_a65b35.npy, TC = 0.5718, TD = 0.6682
文件名: ./emb_a80b15.npy, TC = 0.5675, TD = 0.6714
文件名: ./emb_a90b40.npy, TC = 0.5680, TD = 0.6591
文件名: ./emb_a30b95.npy, TC = 0.5705, TD = 0.5658
文件名: ./emb_a50b30.npy, TC = 0.5815, TD = 0.6640
文件名: ./emb_a5b65.npy, TC = 0.5728, TD = 0.6800
文件名: ./emb_a30b55.npy, TC = 0.5518, TD = 0.6706
文件名: ./emb_a75b80.npy, TC = 0.5637, TD = 0.6687
文件名: ./emb_a35b95.npy, TC = 0.5636, TD = 0.5735
文件名: ./emb_a15b65.npy, TC = 0.5762, TD = 0.6350
文件名: ./emb_a25b35.npy, TC = 0.5806, TD = 0.6789
文件名: ./emb_a5b80.npy, TC = 0.5572, TD = 0.5960
文件名: ./emb_a15b75.npy, TC = 0.5788, TD = 0.6261
文件名: ./emb_a15b25.npy, TC = 0.5951, TD = 0.6579
文件名: ./emb_a90b45.npy, TC = 0.5656, TD = 0.6652
文件名: ./emb_a65b50.npy, TC = 0.5808, TD = 0.6538
文件名: ./emb_a50b20.npy, TC = 0.5949, TD = 0.6750
文件名: ./emb_a50b25.npy, TC = 0.5518, TD = 0.6789
文件名: ./emb_a20b20.npy, TC = 0.5678, TD = 0.6647
文件名: ./emb_a30b65.npy, TC = 0.5606, TD = 0.6500
文件名: ./emb_a20b5.npy, TC = 0.5825, TD = 0.6300
文件名: ./emb_a30b25.npy, TC = 0.5845, TD = 0.6652
文件名: ./emb_a85b20.npy, TC = 0.5694, TD = 0.6522
文件名: ./emb_a35b60.npy, TC = 0.5837, TD = 0.6875
文件名: ./emb_a5b15.npy, TC = 0.5045, TD = 0.5267
文件名: ./emb_a60b25.npy, TC = 0.5729, TD = 0.6682
文件名: ./emb_a60b10.npy, TC = 0.5813, TD = 0.6654
文件名: ./emb_a60b35.npy, TC = 0.5927, TD = 0.6852
文件名: ./emb_a20b55.npy, TC = 0.5678, TD = 0.6522
文件名: ./emb_a45b95.npy, TC = 0.5854, TD = 0.6640
文件名: ./emb_a35b85.npy, TC = 0.5484, TD = 0.6130
文件名: ./emb_a90b85.npy, TC = 0.5611, TD = 0.6636
文件名: ./emb_a95b10.npy, TC = 0.5652, TD = 0.6583
文件名: ./emb_a65b80.npy, TC = 0.5825, TD = 0.6750
